location_name,longitude,latitude,total,dead,male,female
Dhaka Mohanagar,23.8121158,90.41232387,44927,408,26372,18555
Dhaka ,23.77139312,90.43376184,1735,1,1018,717
Faridpur,23.60613078,89.83600706,1196,1,702,494
Faridpur(Medical college hospital),23.58854879,89.83601778,525,5,308,217
Gazipur(Shaheed Tajuddin Ahmad Medical College Hospital),23.99255794,90.42519882,1474,2,865,609
Gazipur ,23.99118592,90.38496596,917,1,538,379
Gopalganj,23.00852046,89.82822816,340,3,200,140
kishoreganj,24.4346264,90.7851175,720,0,423,297
kishoreganj(Shahid Syed Nazrul Islam Medical College Hospital),24.41462717,90.79007398,442,0,259,183
Madaripur,23.16692218,90.19538407,1529,2,898,631
Manikganj,23.88883144,89.98882046,1861,0,1092,769
Manikganj(Medical college hospital),23.88708055,89.99521154,794,2,466,328
Munshiganj,23.57148031,90.48051691,752,1,441,311
Narayanganj,23.64187491,90.48715719,2929,0,1719,1210
Narsingdi,23.93592472,90.72353982,2266,3,1330,936
Rajbari,23.7512624,89.63663365,101,2,59,42
Shariatpur,23.22266724,90.36110187,627,0,368,259
Tangail,24.25390024,89.92060303,1652,7,970,682
Tangail(Medical college hospital),24.26538365,89.92728264,316,2,185,131
Mymensingh,24.74700233,90.41760535,99,0,58,41
Mymensingh(Medical college hospital),24.74174709,90.40855889,1785,17,1048,737
Jamalpur,24.92744921,89.9477483,846,0,497,349
Sherpur,25.01978979,90.01216229,317,0,186,131
Netrokona,24.88212004,90.72382108,343,0,201,142
chottogram,22.38213857,91.83551312,2696,8,1583,1113
chottogram(Medical college hospital),22.35958839,91.83124438,2417,45,1419,998
cox's bazar,21.41681328,91.98335199,5590,7,3281,2309
bandarban,22.19728138,92.21692251,909,1,534,375
Rangamati,22.662772,92.15854347,128,0,75,53
khagrachari,23.11423283,91.97984599,389,1,228,161
Feni,23.01002058,91.3999172,339,0,199,140
Noakhali,22.8659052,91.09992936,507,0,298,209
Cumilla,23.4504747,91.18401411,1035,1,608,427
Comilla( Medical college hospital),23.45185474,91.20356105,1027,1,603,424
Chandpur,23.22485496,90.65491827,2021,0,1186,835
Lakshmipur,22.94548291,90.82774651,681,0,400,281
Brahmanbaria,23.99734686,91.11008772,675,1,396,279
Khulna,22.84123661,89.54050144,3202,6,1880,1322
Khulna(Medical college hospital),22.82828438,89.5367476,1414,21,830,584
Bagerhat,22.65771378,89.79504019,189,0,111,78
Satkhira,22.7216533,89.06665428,272,0,160,112
Satkhira(Medical college hospital),22.69048094,89.04769185,260,1,153,107
Jessore,23.16436289,89.208608,1534,6,900,634
Jhenaidah,23.54407302,89.17259894,757,1,444,313
Magura,23.48654934,89.41934329,434,1,255,179
Narail,23.17353089,89.49969223,822,1,483,339
Kushtia,23.90959804,89.1216717,1147,3,673,474
Chuadanga,23.63345015,88.84552834,198,0,116,82
Meherpur,23.77947338,88.63269849,752,0,441,311
Rajshahi,24.37442638,88.59877787,66,0,39,27
Rajshahi( Medical college hospital) ,24.37220466,88.58653319,1142,7,670,472
Chapainawabganj,24.596032,88.26884627,1243,0,730,513
Naogaon,24.80642004,88.9345833,320,0,188,132
Natore,24.41273328,88.9760857,186,0,109,77
Jaipurhat,25.10275105,89.02693934,48,0,28,20
Bogura,24.85289461,89.37469976,229,0,134,95
Bogura( Shaheed Ziaur Rahman Medical College),24.82816553,89.35198128,263,1,154,109
Shirajganj,24.46187416,89.70643318,441,0,259,182
Shirajganj(Shaheed M. Monsur Ali Medical College),24.44910431,89.67415336,427,2,251,176
pabna,24.01198894,89.245314,1036,1,608,428
Rangpur,25.75056943,89.2618369,119,0,70,49
Rangpur(Medical college hospital),25.76704374,89.23183144,94,0,55,39
lalmonirhat,25.91931411,89.44352723,83,0,49,34
Kurigram,25.81504177,89.64880445,224,0,131,93
Nilfamari,25.93652572,88.84283043,336,1,197,139
Dinajpur,25.62286109,88.64213123,108,0,63,45
Dinajpur( Medical college),25.61104977,88.65589581,248,0,146,102
Gaibandha,25.33025602,89.54264034,182,2,107,75
Thakurgaon,26.02689855,88.46416715,84,0,49,35
Panchagarh,26.33540195,88.55117796,133,0,78,55
Barishal,22.71272847,90.34743078,1683,0,988,695
Barishal( sher e bangla medical college hospital ),22.6862767,90.36197992,2483,60,1458,1025
Patuakhali,22.35852729,90.32808141,1573,2,923,650
Patuakhali( Medical college hospital),22.36271789,90.32694923,1002,1,588,414
Bhola,22.68625977,90.64480357,940,3,552,388
Pirojpur,22.58495142,89.97243748,1544,3,906,638
Barguna,22.1604997,90.12012002,7043,10,4134,2909
Jhalakathi,22.64124398,90.19850842,365,0,214,151
Sylhet,24.90449584,91.86137808,89,0,52,37
Sylhet( MAG Osmani Medical College),24.90062545,91.85289114,88,0,52,36
Sunamganj,25.07093014,91.39818745,5,0,3,2
Habiganj,24.39033601,91.41466521,181,0,106,75
Moulvibazar,24.48580386,91.77603352,57,0,33,24